┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬────────┬───────────┬───────────┬───────────────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ bu  │ val_bu │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ rbu │ bu-sd  │ bu-sd_val │ acum_busd │ acum_busd_val │  sd   │  val_sd  │ rsd │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼────────┼───────────┼───────────┼───────────────┼───────┼──────────┼─────┤
│    0    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │ 100 │ 70000  │    100    │   100   │  70000   │  70000   │ 1673600640000 │ '2023-01-13T09:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 10  │ 5340 │  0  │ 10  │  100   │   70000   │    100    │     70000     │       │          │     │
│    1    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │    300    │   200   │  120000  │  190000  │ 1673601240000 │ '2023-01-13T09:14:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │  -200  │  -120000  │   -100    │    -50000     │  200  │  120000  │  0  │
│    2    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   4300    │  4000   │ 2400000  │ 2590000  │ 1673601600000 │ '2023-01-13T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │ -4000  │ -2400000  │   -4100   │   -2450000    │ 4000  │ 2400000  │ 0.7 │
│    3    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   16100   │  11800  │ 7080000  │ 9670000  │ 1673602320000 │ '2023-01-13T09:32:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │ -11800 │ -7080000  │  -15900   │   -9530000    │ 11800 │ 7080000  │ 2.2 │
│    4    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   16800   │   700   │  420000  │ 10090000 │ 1673602920000 │ '2023-01-13T09:42:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │  -700  │  -420000  │  -16600   │   -9950000    │  700  │  420000  │ 0.1 │
│    5    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   25500   │  8700   │ 5220000  │ 15310000 │ 1673607960000 │ '2023-01-13T11:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │ -8700  │ -5220000  │  -25300   │   -15170000   │ 8700  │ 5220000  │ 1.6 │
│    6    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   25600   │   100   │  60000   │ 15370000 │ 1673616600000 │ '2023-01-13T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │  -100  │  -60000   │  -25400   │   -15230000   │  100  │  60000   │  0  │
│    7    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   32200   │  6600   │ 3960000  │ 19330000 │ 1673616840000 │ '2023-01-13T13:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │ -6600  │ -3960000  │  -32000   │   -19190000   │ 6600  │ 3960000  │ 1.2 │
│    8    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   33500   │  1300   │  780000  │ 20110000 │ 1673621160000 │ '2023-01-13T14:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │ -1300  │  -780000  │  -33300   │   -19970000   │ 1300  │  780000  │ 0.2 │
│    9    │ 0.6 │ 0.6 │ 0.6 │ 0.6 │     │        │   53500   │  20000  │ 12000000 │ 32110000 │ 1673621880000 │ '2023-01-13T14:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 10  │ 5340 │  0  │     │ -20000 │ -12000000 │  -53300   │   -31970000   │ 20000 │ 12000000 │ 3.7 │
└─────────┴─────┴─────┴─────┴─────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴────────┴───────────┴───────────┴───────────────┴───────┴──────────┴─────┘

