┌─────────┬──────┬──────┬──────┬──────┬───────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  bu   │  val_bu   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │ 38200 │ 142104000 │   38200   │  38200  │ 142104000 │ 142104000 │ 1671527640000 │ '2022-12-20T09:14:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 26  │ 38200 │ 142104000 │ 5459351.4  │     0      │   38200   │   142104000   │  142104000  │      0      │  26   │
│    1    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  700  │  2604000  │   38900   │   700   │  2604000  │ 144708000 │ 1671527760000 │ '2022-12-20T09:16:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.5 │  700  │  2604000  │ 5459351.4  │     0      │   38900   │   144708000   │  144708000  │      0      │  0.5  │
│    2    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  200  │  744000   │   39100   │   200   │  744000   │ 145452000 │ 1671527880000 │ '2022-12-20T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  200  │  744000   │ 5459351.4  │     0      │   39100   │   145452000   │  145452000  │      0      │  0.1  │
│    3    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  200  │  744000   │   39300   │   200   │  744000   │ 146196000 │ 1671528000000 │ '2022-12-20T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  200  │  744000   │ 5459351.4  │     0      │   39300   │   146196000   │  146196000  │      0      │  0.1  │
│    4    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  500  │  1860000  │   39800   │   500   │  1860000  │ 148056000 │ 1671528120000 │ '2022-12-20T09:22:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.3 │  500  │  1860000  │ 5459351.4  │     0      │   39800   │   148056000   │  148056000  │      0      │  0.3  │
│    5    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  800  │  2976000  │   40600   │   800   │  2976000  │ 151032000 │ 1671528240000 │ '2022-12-20T09:24:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.5 │  800  │  2976000  │ 5459351.4  │     0      │   40600   │   151032000   │  151032000  │      0      │  0.5  │
│    6    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  100  │  372000   │   40700   │   100   │  372000   │ 151404000 │ 1671528360000 │ '2022-12-20T09:26:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  100  │  372000   │ 5459351.4  │     0      │   40700   │   151404000   │  151404000  │      0      │  0.1  │
│    7    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  400  │  1488000  │   41100   │   400   │  1488000  │ 152892000 │ 1671528720000 │ '2022-12-20T09:32:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.3 │  400  │  1488000  │ 5459351.4  │     0      │   41100   │   152892000   │  152892000  │      0      │  0.3  │
│    8    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │ 1000  │  3720000  │   42100   │  1000   │  3720000  │ 156612000 │ 1671528840000 │ '2022-12-20T09:34:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.7 │ 1000  │  3720000  │ 5459351.4  │     0      │   42100   │   156612000   │  156612000  │      0      │  0.7  │
│    9    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  100  │  372000   │   42200   │   100   │  372000   │ 156984000 │ 1671528960000 │ '2022-12-20T09:36:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  100  │  372000   │ 5459351.4  │     0      │   42200   │   156984000   │  156984000  │      0      │  0.1  │
│   10    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  200  │  744000   │   42400   │   200   │  744000   │ 157728000 │ 1671529080000 │ '2022-12-20T09:38:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  200  │  744000   │ 5459351.4  │     0      │   42400   │   157728000   │  157728000  │      0      │  0.1  │
│   11    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  300  │  1116000  │   42700   │   300   │  1116000  │ 158844000 │ 1671529200000 │ '2022-12-20T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.2 │  300  │  1116000  │ 5459351.4  │     0      │   42700   │   158844000   │  158844000  │      0      │  0.2  │
│   12    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │ 1000  │  3720000  │   43700   │  1000   │  3720000  │ 162564000 │ 1671529560000 │ '2022-12-20T09:46:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.7 │ 1000  │  3720000  │ 5459351.4  │     0      │   43700   │   162564000   │  162564000  │      0      │  0.7  │
│   13    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  100  │  372000   │   43800   │   100   │  372000   │ 162936000 │ 1671529680000 │ '2022-12-20T09:48:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  100  │  372000   │ 5459351.4  │     0      │   43800   │   162936000   │  162936000  │      0      │  0.1  │
│   14    │ 3.72 │ 3.72 │ 3.72 │ 3.72 │  100  │  372000   │   43900   │   100   │  372000   │ 163308000 │ 1671530160000 │ '2022-12-20T09:56:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 1467.6 │  0  │  0  │ 0.1 │  100  │  372000   │ 5459351.4  │     0      │   43900   │   163308000   │  163308000  │      0      │  0.1  │
