┌─────────┬─────┬─────┬─────┬─────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬─────┬─────┬───────┬───────────┬───────────┬───────────────┬──────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │  bu  │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼─────┼─────┼───────┼───────────┼───────────┼───────────────┼──────┼──────────┼─────┤
│    0    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │ 700 │ 2170000 │    700    │   700   │ 2170000  │ 2170000  │ 1675680960000 │ '2023-02-06T10:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 2381.8 │ 63.6 │  0  │ 11  │ -700  │ -2170000  │   -700    │   -2170000    │      │          │     │
│    1    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │         │   1200    │   500   │ 1550000  │ 3720000  │ 1675681080000 │ '2023-02-06T10:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │  500  │  1550000  │   -200    │    -620000    │ 500  │ 1550000  │ 0.2 │
│    2    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │         │   4000    │  2800   │ 8680000  │ 12400000 │ 1675681200000 │ '2023-02-06T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 2800  │  8680000  │   2600    │    8060000    │ 2800 │ 8680000  │ 1.2 │
│    3    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │         │   6900    │  2900   │ 8990000  │ 21390000 │ 1675681320000 │ '2023-02-06T11:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 2900  │  8990000  │   5500    │   17050000    │ 2900 │ 8990000  │ 1.2 │
│    4    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │         │   15600   │  8700   │ 26970000 │ 48360000 │ 1675681440000 │ '2023-02-06T11:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 8700  │ 26970000  │   14200   │   44020000    │ 8700 │ 26970000 │ 3.7 │
│    5    │ 3.1 │ 3.1 │ 3.1 │ 3.1 │     │         │   18000   │  2400   │ 7440000  │ 55800000 │ 1675681560000 │ '2023-02-06T11:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 2400  │  7440000  │   16600   │   51460000    │ 2400 │ 7440000  │  1  │
│    6    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │     │         │   18100   │   100   │  320000  │ 56120000 │ 1675681680000 │ '2023-02-06T11:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │  100  │  320000   │   16700   │   51780000    │ 100  │  320000  │  0  │
│    7    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │     │         │   21100   │  3000   │ 9600000  │ 65720000 │ 1675688760000 │ '2023-02-06T13:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 3000  │  9600000  │   19700   │   61380000    │ 3000 │ 9600000  │ 1.3 │
│    8    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │     │         │   24100   │  3000   │ 9600000  │ 75320000 │ 1675689360000 │ '2023-02-06T13:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 3000  │  9600000  │   22700   │   70980000    │ 3000 │ 9600000  │ 1.3 │
│    9    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │     │         │   25600   │  1500   │ 4800000  │ 80120000 │ 1675689480000 │ '2023-02-06T13:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 1500  │  4800000  │   24200   │   75780000    │ 1500 │ 4800000  │ 0.6 │
│   10    │ 3.2 │ 3.2 │ 3.2 │ 3.2 │     │         │   26900   │  1300   │ 4160000  │ 84280000 │ 1675689600000 │ '2023-02-06T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 2381.8 │ 63.6 │  0  │     │ 1300  │  4160000  │   25500   │   79940000    │ 1300 │ 4160000  │ 0.5 │
└─────────┴─────┴─────┴─────┴─────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴──────┴─────┴─────┴───────┴───────────┴───────────┴───────────────┴──────┴──────────┴─────┘

