"c","h","l","o","t","v","av","r","date","updown"
88,88,88,88,1674007200,200,1515.0485436893205,"0.13","2023-01-18T09:00:00.000Z","-"
88,88,87.9,87.9,1674007500,400,1515.0485436893205,"0.26","2023-01-18T09:05:00.000Z","up"
86.3,88,86.3,88,1674008100,200,1515.0485436893205,"0.13","2023-01-18T09:15:00.000Z","down"
86.5,86.5,86.2,86.2,1674008400,800,1515.0485436893205,"0.53","2023-01-18T09:20:00.000Z","up"
86.4,86.4,86.4,86.4,1674008700,600,1515.0485436893205,"0.40","2023-01-18T09:25:00.000Z","-"
86.4,86.4,86.4,86.4,1674009000,1000,1515.0485436893205,"0.66","2023-01-18T09:30:00.000Z","-"
87.3,87.3,87.3,87.3,1674009600,2000,1515.0485436893205,"1.32","2023-01-18T09:40:00.000Z","-"
87.3,87.3,87.3,87.3,1674009900,2000,1515.0485436893205,"1.32","2023-01-18T09:45:00.000Z","-"
87.9,87.9,87.8,87.8,1674010200,700,1515.0485436893205,"0.46","2023-01-18T09:50:00.000Z","up"
87.5,87.5,87.5,87.5,1674010500,700,1515.0485436893205,"0.46","2023-01-18T09:55:00.000Z","-"
87.8,87.8,87.8,87.8,1674010800,5200,1515.0485436893205,"3.43","2023-01-18T10:00:00.000Z","-"
87.5,87.5,87.5,87.5,1674011400,900,1515.0485436893205,"0.59","2023-01-18T10:10:00.000Z","-"
87.1,87.1,87.1,87.1,1674011700,400,1515.0485436893205,"0.26","2023-01-18T10:15:00.000Z","-"
87.1,87.1,87.1,87.1,1674012600,100,1515.0485436893205,"0.07","2023-01-18T10:30:00.000Z","-"
87.5,87.6,87.5,87.5,1674012900,3000,1515.0485436893205,"1.98","2023-01-18T10:35:00.000Z","-"
87.5,87.5,87.5,87.5,1674013200,400,1515.0485436893205,"0.26","2023-01-18T10:40:00.000Z","-"
87.1,87.1,87.1,87.1,1674013500,100,1515.0485436893205,"0.07","2023-01-18T10:45:00.000Z","-"
87.1,87.1,87.1,87.1,1674013800,900,1515.0485436893205,"0.59","2023-01-18T10:50:00.000Z","-"
87.1,87.1,87.1,87.1,1674014100,100,1515.0485436893205,"0.07","2023-01-18T10:55:00.000Z","-"
87.5,87.5,87.5,87.5,1674014400,300,1515.0485436893205,"0.20","2023-01-18T11:00:00.000Z","-"
87.9,87.9,87.9,87.9,1674014700,6100,1515.0485436893205,"4.03","2023-01-18T11:05:00.000Z","-"
