┌─────────┬───────┬───────┬───────┬───────┬────────────┬───────┬───────────────────┬────────┬────────────────────────────┬────────┐
│ (index) │   c   │   h   │   l   │   o   │     t      │   v   │        av         │   r    │            date            │ updown │
├─────────┼───────┼───────┼───────┼───────┼────────────┼───────┼───────────────────┼────────┼────────────────────────────┼────────┤
│    0    │ 19.9  │ 20.8  │ 19.9  │ 20.1  │ 1674009600 │ 11400 │ 1490.909090909091 │ '7.65' │ '2023-01-18T09:40:00.000Z' │ 'down' │
│    1    │ 20.8  │ 20.8  │ 19.9  │ 19.9  │ 1674009900 │ 3300  │ 1490.909090909091 │ '2.21' │ '2023-01-18T09:45:00.000Z' │  'up'  │
│    2    │ 21.1  │ 21.1  │ 21.1  │ 21.1  │ 1674010500 │  200  │ 1490.909090909091 │ '0.13' │ '2023-01-18T09:55:00.000Z' │  '-'   │
│    3    │ 20.6  │ 20.6  │ 20.6  │ 20.6  │ 1674022800 │ 2000  │ 1490.909090909091 │ '1.34' │ '2023-01-18T13:20:00.000Z' │  '-'   │
│    4    │ 20.6  │ 20.7  │ 20.6  │ 20.7  │ 1674024900 │  400  │ 1490.909090909091 │ '0.27' │ '2023-01-18T13:55:00.000Z' │ 'down' │
│    5    │ 20.6  │ 20.6  │ 20.6  │ 20.6  │ 1674025800 │  200  │ 1490.909090909091 │ '0.13' │ '2023-01-18T14:10:00.000Z' │  '-'   │
│    6    │ 20.9  │ 20.9  │ 20.9  │ 20.9  │ 1674094500 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-19T09:15:00.000Z' │  '-'   │
│    7    │ 21.5  │ 21.5  │ 21.5  │ 21.5  │ 1674114300 │ 1500  │ 1490.909090909091 │ '1.01' │ '2023-01-19T14:45:00.000Z' │  '-'   │
│    8    │ 21.5  │ 21.5  │ 21.5  │ 21.5  │ 1674785700 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-27T09:15:00.000Z' │  '-'   │
│    9    │  21   │  21   │  21   │  21   │ 1674786900 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-27T09:35:00.000Z' │  '-'   │
│   10    │ 21.45 │ 21.45 │ 21.45 │ 21.45 │ 1674792600 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-27T11:10:00.000Z' │  '-'   │
│   11    │ 21.45 │ 21.45 │ 21.45 │ 21.45 │ 1674799200 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-27T13:00:00.000Z' │  '-'   │
│   12    │ 20.55 │ 20.55 │ 20.55 │ 20.55 │ 1674800400 │  400  │ 1490.909090909091 │ '0.27' │ '2023-01-27T13:20:00.000Z' │  '-'   │
│   13    │ 20.55 │ 20.6  │ 20.55 │ 20.6  │ 1674801600 │ 2400  │ 1490.909090909091 │ '1.61' │ '2023-01-27T13:40:00.000Z' │ 'down' │
│   14    │ 20.55 │ 20.55 │ 20.55 │ 20.55 │ 1674801900 │  600  │ 1490.909090909091 │ '0.40' │ '2023-01-27T13:45:00.000Z' │  '-'   │
│   15    │ 21.15 │ 21.15 │ 21.15 │ 21.15 │ 1674802500 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-27T13:55:00.000Z' │  '-'   │
│   16    │  21   │  21   │  21   │  21   │ 1675045200 │  200  │ 1490.909090909091 │ '0.13' │ '2023-01-30T09:20:00.000Z' │  '-'   │
│   17    │ 20.9  │ 20.9  │ 20.9  │ 20.9  │ 1675047000 │  200  │ 1490.909090909091 │ '0.13' │ '2023-01-30T09:50:00.000Z' │  '-'   │
│   18    │ 20.9  │ 20.9  │ 20.9  │ 20.9  │ 1675049400 │  500  │ 1490.909090909091 │ '0.34' │ '2023-01-30T10:30:00.000Z' │  '-'   │
│   19    │ 20.1  │ 20.25 │ 20.1  │ 20.25 │ 1675058700 │ 1600  │ 1490.909090909091 │ '1.07' │ '2023-01-30T13:05:00.000Z' │ 'down' │
│   20    │ 20.1  │ 20.2  │ 20.1  │ 20.2  │ 1675060500 │ 1000  │ 1490.909090909091 │ '0.67' │ '2023-01-30T13:35:00.000Z' │ 'down' │
│   21    │  20   │ 20.1  │  20   │ 20.1  │ 1675060800 │ 4300  │ 1490.909090909091 │ '2.88' │ '2023-01-30T13:40:00.000Z' │ 'down' │
│   22    │ 19.7  │  20   │ 19.7  │  20   │ 1675061100 │ 1000  │ 1490.909090909091 │ '0.67' │ '2023-01-30T13:45:00.000Z' │ 'down' │
│   23    │  20   │  20   │ 19.7  │ 19.7  │ 1675061400 │ 5900  │ 1490.909090909091 │ '3.96' │ '2023-01-30T13:50:00.000Z' │  'up'  │
│   24    │  20   │  20   │  20   │  20   │ 1675062000 │ 2000  │ 1490.909090909091 │ '1.34' │ '2023-01-30T14:00:00.000Z' │  '-'   │
│   25    │ 20.1  │ 20.1  │ 20.1  │ 20.1  │ 1675062600 │  500  │ 1490.909090909091 │ '0.34' │ '2023-01-30T14:10:00.000Z' │  '-'   │
│   26    │ 20.1  │ 20.1  │  20   │  20   │ 1675062900 │ 1500  │ 1490.909090909091 │ '1.01' │ '2023-01-30T14:15:00.000Z' │  'up'  │
│   27    │ 19.95 │  20   │ 19.95 │  20   │ 1675063200 │  500  │ 1490.909090909091 │ '0.34' │ '2023-01-30T14:20:00.000Z' │ 'down' │
│   28    │ 19.7  │  20   │ 19.7  │  20   │ 1675063500 │ 4000  │ 1490.909090909091 │ '2.68' │ '2023-01-30T14:25:00.000Z' │ 'down' │
│   29    │  20   │  20   │  20   │  20   │ 1675064700 │ 1800  │ 1490.909090909091 │ '1.21' │ '2023-01-30T14:45:00.000Z' │  '-'   │
│   30    │ 21.4  │ 21.4  │ 20.5  │ 21.4  │ 1675131300 │ 10400 │ 1490.909090909091 │ '6.98' │ '2023-01-31T09:15:00.000Z' │  '-'   │
│   31    │ 20.5  │ 20.5  │ 20.5  │ 20.5  │ 1675131900 │  300  │ 1490.909090909091 │ '0.20' │ '2023-01-31T09:25:00.000Z' │  '-'   │
│   32    │ 20.5  │ 20.5  │ 20.5  │ 20.5  │ 1675136700 │  100  │ 1490.909090909091 │ '0.07' │ '2023-01-31T10:45:00.000Z' │  '-'   │
│   33    │ 20.85 │ 20.85 │ 20.5  │ 20.5  │ 1675147800 │  700  │ 1490.909090909091 │ '0.47' │ '2023-01-31T13:50:00.000Z' │  'up'  │
│   34    │ 20.3  │ 20.3  │ 20.3  │ 20.3  │ 1675217700 │  100  │ 1490.909090909091 │ '0.07' │ '2023-02-01T09:15:00.000Z' │  '-'   │
│   35    │ 20.9  │ 20.9  │ 20.8  │ 20.8  │ 1675218000 │  600  │ 1490.909090909091 │ '0.40' │ '2023-02-01T09:20:00.000Z' │  'up'  │
│   36    │ 20.9  │ 20.9  │ 20.9  │ 20.9  │ 1675218600 │  500  │ 1490.909090909091 │ '0.34' │ '2023-02-01T09:30:00.000Z' │  '-'   │
│   37    │ 20.8  │ 20.8  │ 20.8  │ 20.8  │ 1675220100 │  100  │ 1490.909090909091 │ '0.07' │ '2023-02-01T09:55:00.000Z' │  '-'   │
│   38    │ 20.85 │ 20.85 │ 20.8  │ 20.8  │ 1675222500 │  700  │ 1490.909090909091 │ '0.47' │ '2023-02-01T10:35:00.000Z' │  'up'  │
│   39    │ 20.5  │ 20.5  │ 20.5  │ 20.5  │ 1675231200 │  100  │ 1490.909090909091 │ '0.07' │ '2023-02-01T13:00:00.000Z' │  '-'   │
│   40    │ 20.75 │ 20.75 │ 20.75 │ 20.75 │ 1675231500 │ 1000  │ 1490.909090909091 │ '0.67' │ '2023-02-01T13:05:00.000Z' │  '-'   │
│   41    │ 20.4  │ 20.5  │ 20.4  │ 20.5  │ 1675236000 │ 2400  │ 1490.909090909091 │ '1.61' │ '2023-02-01T14:20:00.000Z' │ 'down' │
│   42    │ 20.3  │ 20.35 │ 20.3  │ 20.35 │ 1675236300 │  500  │ 1490.909090909091 │ '0.34' │ '2023-02-01T14:25:00.000Z' │ 'down' │
│   43    │ 20.4  │ 20.4  │ 20.4  │ 20.4  │ 1675237500 │  100  │ 1490.909090909091 │ '0.07' │ '2023-02-01T14:45:00.000Z' │  '-'   │
└─────────┴───────┴───────┴───────┴───────┴────────────┴───────┴───────────────────┴────────┴────────────────────────────┴────────┘
