"abu","acum_busd","acum_busd_val","acum_val","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
50,-400,-440000.00000000006,440000.00000000006,2920,0,0,,-400,-440000.00000000006,1.1,"2023-01-06T09:20:00.000Z",1672996800000,1.1,1.1,1.1,0,100,0,,0.1,,Infinity,400,400,400,,440000.00000000006,,440000.00000000006,
50,-5400,-5940000,5940000,2920,0,0,,-5000,-5500000,1.1,"2023-01-06T09:24:00.000Z",1672997040000,1.1,1.1,1.1,0,100,0,,1.7,,Infinity,5000,5000,5400,,5500000,,5500000,
50,-15400,-16940000,16940000,2920,0,0,,-10000,-11000000,1.1,"2023-01-06T09:40:00.000Z",1672998000000,1.1,1.1,1.1,0,100,0,,3.4,,Infinity,10000,10000,15400,,11000000,,11000000,
50,-20400,-22440000,22440000,2920,0,0,,-5000,-5500000,1.1,"2023-01-06T09:42:00.000Z",1672998120000,1.1,1.1,1.1,0,100,0,,1.7,,Infinity,5000,5000,20400,,5500000,,5500000,
50,-20500,-22550000,22550000,2920,0,0,,-100,-110000.00000000001,1.1,"2023-01-06T11:12:00.000Z",1673003520000,1.1,1.1,1.1,0,100,0,,0,,Infinity,100,100,20500,,110000.00000000001,,110000.00000000001,
50,-20000,-21900000,23200000,2920,0,Infinity,500,500,650000,1.3,"2023-01-06T11:14:00.000Z",1673003640000,1.3,1.3,1.3,100,0,0,10,,,0,,500,21000,,650000,650000,,
50,-20200,-22140000,23440000,2920,0,0,,-200,-240000,1.2,"2023-01-06T13:40:00.000Z",1673012400000,1.2,1.2,1.2,0,100,0,,0.1,,Infinity,200,200,21200,,240000,,240000,
50,-20500,-22500000,23800000,2920,0,0,,-300,-360000,1.2,"2023-01-06T13:50:00.000Z",1673013000000,1.2,1.2,1.2,0,100,0,,0.1,,Infinity,300,300,21500,,360000,,360000,
50,-21900,-24180000,25480000,2920,0,0,,-1400,-1680000,1.2,"2023-01-06T14:16:00.000Z",1673014560000,1.2,1.2,1.2,0,100,0,,0.5,,Infinity,1400,1400,22900,,1680000,,1680000,
50,-28700,-31660000,32960000,2920,0,0,,-6800,-7480000.000000001,1.1,"2023-01-06T14:40:00.000Z",1673016000000,1.1,1.1,1.1,0,100,0,,2.3,,Infinity,6800,6800,29700,,7480000.000000001,,7480000.000000001,
