┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬────────┬─────┬─────┬───────┬───────────┬───────────┬───────────────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd   │ auk │ rbu │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼────────┼─────┼─────┼───────┼───────────┼───────────┼───────────────┼──────┼──────────┼─────┤
│    0    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │ 100 │ 1970000 │    100    │   100   │ 1970000  │  1970000  │ 1671615360000 │ '2022-12-21T09:36:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 9.1 │ 1436.4 │  0  │ 11  │  100  │  1970000  │    100    │    1970000    │      │          │     │
│    1    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │    700    │   600   │ 11820000 │ 13790000  │ 1671615840000 │ '2022-12-21T09:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -600  │ -11820000 │   -500    │   -9850000    │ 600  │ 11820000 │ 0.4 │
│    2    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   1700    │  1000   │ 19700000 │ 33490000  │ 1671615960000 │ '2022-12-21T09:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -1000 │ -19700000 │   -1500   │   -29550000   │ 1000 │ 19700000 │ 0.7 │
│    3    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   3700    │  2000   │ 39400000 │ 72890000  │ 1671616200000 │ '2022-12-21T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -2000 │ -39400000 │   -3500   │   -68950000   │ 2000 │ 39400000 │ 1.4 │
│    4    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   5700    │  2000   │ 39400000 │ 112290000 │ 1671616320000 │ '2022-12-21T09:52:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -2000 │ -39400000 │   -5500   │  -108350000   │ 2000 │ 39400000 │ 1.4 │
│    5    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   8700    │  3000   │ 59100000 │ 171390000 │ 1671616560000 │ '2022-12-21T09:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -3000 │ -59100000 │   -8500   │  -167450000   │ 3000 │ 59100000 │ 2.1 │
│    6    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   11700   │  3000   │ 59100000 │ 230490000 │ 1671616680000 │ '2022-12-21T09:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -3000 │ -59100000 │  -11500   │  -226550000   │ 3000 │ 59100000 │ 2.1 │
│    7    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   14700   │  3000   │ 59100000 │ 289590000 │ 1671616800000 │ '2022-12-21T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -3000 │ -59100000 │  -14500   │  -285650000   │ 3000 │ 59100000 │ 2.1 │
│    8    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   15700   │  1000   │ 19700000 │ 309290000 │ 1671616920000 │ '2022-12-21T10:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -1000 │ -19700000 │  -15500   │  -305350000   │ 1000 │ 19700000 │ 0.7 │
│    9    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   15800   │   100   │ 1970000  │ 311260000 │ 1671617880000 │ '2022-12-21T10:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -100  │ -1970000  │  -15600   │  -307320000   │ 100  │ 1970000  │ 0.1 │
│   10    │ 19.7 │ 19.7 │ 19.7 │ 19.7 │     │         │   15900   │   100   │ 1970000  │ 313230000 │ 1671628440000 │ '2022-12-21T13:14:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 9.1 │ 1436.4 │  0  │     │ -100  │ -1970000  │  -15700   │  -309290000   │ 100  │ 1970000  │ 0.1 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴────────┴─────┴─────┴───────┴───────────┴───────────┴───────────────┴──────┴──────────┴─────┘

