┌─────────┬─────┬─────┬─────┬─────┬───────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬────────┬─────┬──────┬───────┬────────────────────┬────────────┬────────────┬───────────┬────────────────────┬────────────────────┬─────────────┬───────┬──────┬────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  bu   │       val_bu       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd   │ auk │ rbu  │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │   acum_busd_val    │    acum_val_bu     │ acum_val_sd │ rbusd │  sd  │ val_sd │ rsd │
├─────────┼─────┼─────┼─────┼─────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼────────┼─────┼──────┼───────┼────────────────────┼────────────┼────────────┼───────────┼────────────────────┼────────────────────┼─────────────┼───────┼──────┼────────┼─────┤
│    0    │ 1.1 │ 1.1 │ 1.1 │ 1.1 │  100  │ 110000.00000000001 │    100    │   100   │ 110000.00000000001 │ 110000.00000000001 │ 1675417500000 │ '2023-02-03T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1258.3 │ 1666.7 │  0  │ 0.1  │  100  │ 110000.00000000001 │ 1384166.7  │   1666.7   │    100    │ 110000.00000000001 │ 110000.00000000001 │      0      │  0.1  │      │        │     │
│    1    │  1  │  1  │  1  │  1  │       │                    │   6100    │  6000   │        6000        │ 116000.00000000001 │ 1675420500000 │ '2023-02-03T10:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -6000 │       -6000        │ 1384166.7  │   1666.7   │   -5900   │ 104000.00000000001 │ 110000.00000000001 │    6000     │  -0   │ 6000 │  6000  │ 3.6 │
│    2    │  1  │  1  │  1  │  1  │       │                    │   6200    │   100   │        100         │ 116100.00000000001 │ 1675421400000 │ '2023-02-03T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -100  │        -100        │ 1384166.7  │   1666.7   │   -6000   │ 103900.00000000001 │ 110000.00000000001 │    6100     │  -0   │ 100  │  100   │ 0.1 │
│    3    │  1  │  1  │  1  │  1  │       │                    │   6300    │   100   │        100         │ 116200.00000000001 │ 1675422900000 │ '2023-02-03T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -100  │        -100        │ 1384166.7  │   1666.7   │   -6100   │ 103800.00000000001 │ 110000.00000000001 │    6200     │  -0   │ 100  │  100   │ 0.1 │
│    4    │  1  │  1  │  1  │  1  │       │                    │   6400    │   100   │        100         │ 116300.00000000001 │ 1675423200000 │ '2023-02-03T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -100  │        -100        │ 1384166.7  │   1666.7   │   -6200   │ 103700.00000000001 │ 110000.00000000001 │    6300     │  -0   │ 100  │  100   │ 0.1 │
│    5    │  1  │  1  │  1  │  1  │       │                    │   6500    │   100   │        100         │ 116400.00000000001 │ 1675429800000 │ '2023-02-03T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -100  │        -100        │ 1384166.7  │   1666.7   │   -6300   │ 103600.00000000001 │ 110000.00000000001 │    6400     │  -0   │ 100  │  100   │ 0.1 │
│    6    │  1  │  1  │  1  │  1  │       │                    │   7500    │  1000   │        1000        │ 117400.00000000001 │ 1675430700000 │ '2023-02-03T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -1000 │       -1000        │ 1384166.7  │   1666.7   │   -7300   │ 102600.00000000001 │ 110000.00000000001 │    7400     │  -0   │ 1000 │  1000  │ 0.6 │
│    7    │  1  │  1  │  1  │  1  │       │                    │   7600    │   100   │        100         │ 117500.00000000001 │ 1675432500000 │ '2023-02-03T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -100  │        -100        │ 1384166.7  │   1666.7   │   -7400   │ 102500.00000000001 │ 110000.00000000001 │    7500     │  -0   │ 100  │  100   │ 0.1 │
│    8    │  1  │  1  │  1  │  1  │       │                    │   12600   │  5000   │        5000        │ 122500.00000000001 │ 1675434300000 │ '2023-02-03T14:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -5000 │       -5000        │ 1384166.7  │   1666.7   │  -12400   │ 97500.00000000001  │ 110000.00000000001 │    12500    │  -0   │ 5000 │  5000  │  3  │
│    9    │  1  │  1  │  1  │  1  │       │                    │   18500   │  5900   │        5900        │ 128400.00000000001 │ 1675434600000 │ '2023-02-03T14:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -5900 │       -5900        │ 1384166.7  │   1666.7   │  -18300   │ 91600.00000000001  │ 110000.00000000001 │    18400    │  -0   │ 5900 │  5900  │ 3.5 │
│   10    │  1  │  1  │  1  │  1  │       │                    │   20100   │  1600   │        1600        │ 130000.00000000001 │ 1675434900000 │ '2023-02-03T14:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1258.3 │ 1666.7 │  0  │      │ -1600 │       -1600        │ 1384166.7  │   1666.7   │  -19900   │ 90000.00000000001  │ 110000.00000000001 │    20000    │  -0   │ 1600 │  1600  │  1  │
