"abu","acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","avg_val_bu","avg_val_sd","rbusd","asd","auk","bs","bu","bu-sd","bu-sd_val","c","date","datetime","h","l","o","pbu","psd","puk","rbu","rsd","ruk","sb","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
538.5,1500,43350000,43350000,0,63580000,15452307.7,28167692.3,3.4,1038.5,92.3,Infinity,1500,1500,43350000,28.9,"2022-12-14T09:04:00.000Z",1671008640000,28.9,28.9,28.9,68.2,0,31.8,2.8,,7.6,0,,2200,2200,700,63580000,43350000,,20230000
538.5,2000,57800000,57800000,0,78030000,15452307.7,28167692.3,1.1,1038.5,92.3,Infinity,500,500,14450000,28.9,"2022-12-14T09:06:00.000Z",1671008760000,28.9,28.9,28.9,100,0,0,0.9,,,0,,500,2700,,14450000,14450000,,
538.5,3700,106670000,106670000,0,126900000,15452307.7,28167692.3,3.8,1038.5,92.3,Infinity,1700,1700,48870000,28.7,"2022-12-14T09:22:00.000Z",1671009720000,28.8,28.7,28.8,100,0,0,3.2,,,0,,1700,4400,,48870000,48870000,,
538.5,6100,175310000,175310000,0,195540000,15452307.7,28167692.3,5.4,1038.5,92.3,Infinity,2400,2400,68640000,28.6,"2022-12-14T09:38:00.000Z",1671010680000,28.6,28.6,28.6,100,0,0,4.5,,,0,,2400,6800,,68640000,68640000,,
538.5,6200,178160000,178160000,0,198390000,15452307.7,28167692.3,0.2,1038.5,92.3,Infinity,100,100,2850000,28.5,"2022-12-14T10:46:00.000Z",1671014760000,28.5,28.5,28.5,100,0,0,0.2,,,0,,100,6900,,2850000,2850000,,
538.5,6100,175340000,178160000,2820000,201210000,15452307.7,28167692.3,0.2,1038.5,92.3,0,,-100,-2820000,28.2,"2022-12-14T13:48:00.000Z",1671025680000,28.2,28.2,28.2,0,100,0,,0.1,,Infinity,100,100,7000,,2820000,,2820000,
538.5,5900,169760000,178160000,8400000,206790000,15452307.7,28167692.3,0.4,1038.5,92.3,0,,-200,-5580000,27.9,"2022-12-14T13:58:00.000Z",1671026280000,27.9,27.9,27.9,0,100,0,,0.2,,Infinity,200,200,7200,,5580000,,5580000,
538.5,5800,167000000,178160000,11160000,215070000,15452307.7,28167692.3,0.2,1038.5,92.3,0,,-100,-2760000,27.5,"2022-12-14T14:08:00.000Z",1671026880000,27.7,27.5,27.7,0,33.3,66.7,,0.1,2.2,Infinity,100,300,7500,200,8280000,,2760000,5520000
538.5,5700,164280000,178160000,13880000,217790000,15452307.7,28167692.3,0.2,1038.5,92.3,0,,-100,-2720000,27.2,"2022-12-14T14:10:00.000Z",1671027000000,27.2,27.2,27.2,0,100,0,,0.1,,Infinity,100,100,7600,,2720000,,2720000,
538.5,-7300,-188020000,178160000,366180000,572810000,15452307.7,28167692.3,27.7,1038.5,92.3,0,,-13000,-352300000,27.2,"2022-12-14T14:12:00.000Z",1671027120000,27.2,27.1,27.1,0,99.2,0.8,,12.5,1.1,Infinity,13000,13100,20700,100,355020000,,352300000,2720000
538.5,-7300,-188020000,178160000,366180000,575630000,15452307.7,28167692.3,0,1038.5,92.3,NaN,,0,0,28.2,"2022-12-14T14:14:00.000Z",1671027240000,28.2,28.2,28.2,0,0,100,,,1.1,NaN,,100,20800,100,2820000,,,2820000
538.5,-6500,-165300000,200880000,366180000,598350000,15452307.7,28167692.3,1.8,1038.5,92.3,Infinity,800,800,22720000,28.4,"2022-12-14T14:16:00.000Z",1671027360000,28.4,28.4,28.4,100,0,0,1.5,,,0,,800,21600,,22720000,22720000,,
538.5,-6500,-165300000,200880000,366180000,601230000,15452307.7,28167692.3,0,1038.5,92.3,NaN,,0,0,28.8,"2022-12-14T14:44:00.000Z",1671029040000,28.8,28.8,28.8,0,0,100,,,1.1,NaN,,100,21700,100,2880000,,,2880000
